Section Info,Nearest Subheading,"Sentence with ""should""",Page Number
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage","int x = 0; auto x_plus_n = [&x](int n) -> int { return x + n; } Short lambdas may be written inline as function arguments.Lambda Expressions 8/8/23, 11:17 AM Google C++ Style Guide https://google.github.io/styleguide/cppguide.html 66/77absl::flat_hash_set<int> to_remove = {7, 8, 9}; std::vector<int> digits = {3, 9, 1, 8, 4, 7, 1}; digits.erase(std::remove_if(digits.begin(), digits.end(), [&to_        return to_remove.contains(i);       }),       digits.end()); Floating-point literals should always have a radix point, with digits on both sides, even if they use exponential notation.",3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage","Function calls have the following format: bool result = DoSomething(argument1, argument2, argument3); If the arguments do not all fit on one line, they should be broken up onto multiple lines, with each subsequent line aligned with the first argument.",3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage",The decision should be specific to the argument which is made more readable rather than a general policy.,3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage",For these statements: The components of the statement should be separated by single spaces (not line breaks).,3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage","If you do include curly braces, they should be placed as shown below. switch (var) {  case 0: { // 2 space indent   Foo();  // 4 space indent   break;  }  default: {   Bar();  } } Empty loop bodies should use either an empty pair of braces or continue with no braces, rather than a single semicolon.",3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage",char* c; const std::string& str; int* GetPointer(); std::vector<char*> // Note no space between '*' and '>' You should do this consistently within a single file.,3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage","Also note that you should always use the punctuation operators, such as && and ~, rather than the word operators, such as and and compl.",3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage","The hash mark that starts a preprocessor directive should always be at the beginning of the line. Even when preprocessor directives are within the body of indented code, the directives should start at the beginning of the line.",3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage","The ""#if"" should be at beg   DropEverything();   #endif        // Wrong!",3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage","explicit MyClass(int var);  ~MyClass() {}  void SomeFunction();  void SomeFunctionThatDoesNothing() {  }  void set_some_var(int var) { some_var_ = var; }Preprocessor Directives Class Format 8/8/23, 11:17 AM Google C++ Style Guide https://google.github.io/styleguide/cppguide.html 73/77 int some_var() const { return some_var_; } private:  bool SomeInternalFunction();  int some_var_;  int some_other_var_; }; Things to note: Any base class name should be on the same line as the subclass name, subject to the 80-column limit. The public:, protected:, and private: keywords should be indented one space. Except for the first instance, these keywords should be preceded by a blank line.",3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage","The public section should be first, followed by the protected and finally the private section.",3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage",Indented when it should not be.,3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage",void f(bool b) { // Open braces should always have a space bef  ... int i = 0; // Semicolons usually have no space before them.,3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage",Parentheses should have // internal padding.,3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage",The path in the include guards should be relative to the top of your project tree.,3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage","Although you should not use exceptions in your own code, they are used extensively in the ATL and some STLs, including the one that comes with Visual C++. When using the ATL, you should define _ATL_NO_EXCEPTIONS to disable exceptions. You should investigate whether you can also disable exceptions in your STL, but if not, it is OK to turn on exceptions in the compiler.",3
8.0.0,"All such variables with static storage duration (i.e., statics and globals, see Storage",You should still not write exception handling code yourself.),3
